date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:30	686/686	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2004:39:28%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-gungeescenario.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-gungeescenario.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:00:31	352/352	---M-Z	200	added ('OK')	image/png	date:Fri,%2027%20Jan%202023%2004:33:39%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/link/favicon-googleform.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/link/favicon-googleform.png	(from https://salmon-learn-nw.gungee.jp/link/)
01:01:01	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeup&tide=High	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index4d10.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:01:02	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeup&tide=Low	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/indexca18.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:01:02	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeship&tide=Mid	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index97be.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:01:02	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeship&tide=High	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/index00cd.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:01:02	28896/28896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2020:44:34%20GMT	https://salmon-learn-nw.gungee.jp/map/?stage=Shakeship&tide=Low	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/map/indexb2fa.html	(from https://salmon-learn-nw.gungee.jp/maplist/)
01:01:02	14425/14425	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2006%20Mar%202022%2008:31:13%20GMT	https://salmon-learn-nw.gungee.jp/assets/js/rhill-voronoi-core.min.js?ver=3	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/js/rhill-voronoi-core.min592e.js	(from https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Mid)
01:01:02	2210/2210	---M-Z	200	added ('OK')	application/javascript	etag:W/%228a2-ngY/Y9MDkyf1oyGHRNHDqclx9cM%22	https://cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.min.js	C:/My%20Web%20Sites/salmonrunNW/cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.min.js	(from https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Mid)
01:01:02	183327/183327	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Jan%202023%2013:03:51%20GMT	https://salmon-learn-nw.gungee.jp/assets/js/map.js?release=0.0.0	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/js/map40b3.js	(from https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Mid)
01:01:02	68/68	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jan%202023%2009:43:31%20GMT	https://salmon-learn-nw.gungee.jp/assets/img/other/transparent.png	C:/My%20Web%20Sites/salmonrunNW/salmon-learn-nw.gungee.jp/assets/img/other/transparent.png	(from https://salmon-learn-nw.gungee.jp/map/?stage=Shakespiral&tide=Mid)
